@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
200,'\'(56.2-68.6]\'',M,11,1800,2,164,48,dobry
0,'\'(56.2-68.6]\'',M,12,918,0,86,48,zly
300,'\'(-inf-31.4]\'',M,12,1440,0,23,16,dobry
300,'\'(31.4-43.8]\'',K,12,1382,2,35,10,dobry
300,'\'(56.2-68.6]\'',K,13,992.96,0,16,48,dobry
1000,'\'(56.2-68.6]\'',M,13,3600,3,90,48,dobry
600,'\'(31.4-43.8]\'',M,11,2200,0,132,48,dobry
387.11,'\'(68.6-inf)\'',K,13,1373,1,114,48,dobry
280.88,'\'(56.2-68.6]\'',M,13,2000,2,38,48,dobry
400,'\'(43.8-56.2]\'',M,11,3300,2,240,48,dobry
200,'\'(68.6-inf)\'',K,13,785,5,68,48,dobry
650,'\'(56.2-68.6]\'',M,13,3900,1,118,48,dobry
311.65,'\'(31.4-43.8]\'',K,11,2709.34,9,185,48,dobry
200,'\'(43.8-56.2]\'',M,12,822,0,130,48,dobry
400,'\'(43.8-56.2]\'',K,11,1764,2,68,48,dobry
300,'\'(68.6-inf)\'',M,13,1689.98,0,85,48,dobry
0,'\'(-inf-31.4]\'',K,12,1082,0,7,4,zly
500,'\'(56.2-68.6]\'',M,16,1770,9,93,48,dobry
290,'\'(56.2-68.6]\'',K,13,1280,9,21,48,dobry
500,'\'(56.2-68.6]\'',K,13,1474.55,1,69,48,dobry
300,'\'(56.2-68.6]\'',K,13,1240,1,74,48,dobry
500,'\'(56.2-68.6]\'',K,13,1800,0,73,48,dobry
240,'\'(56.2-68.6]\'',K,11,1172.2,8,41,48,dobry
500,'\'(31.4-43.8]\'',M,13,1648,0,17,48,zly
643.05,'\'(43.8-56.2]\'',K,11,3200,8,58,48,dobry
585.7,'\'(56.2-68.6]\'',K,13,1050,9,143,48,dobry
0,'\'(-inf-31.4]\'',M,12,1135,0,23,14,zly
700,'\'(56.2-68.6]\'',M,11,2800,1,100,48,dobry
1000,'\'(56.2-68.6]\'',M,12,2500,7,10,1,dobry
200,'\'(68.6-inf)\'',K,13,1100,0,252,48,dobry
836,'\'(56.2-68.6]\'',K,13,1362,8,60,48,dobry
400,'\'(56.2-68.6]\'',K,13,1208,0,84,48,dobry
400,'\'(56.2-68.6]\'',K,13,1094,1,188,48,dobry
390.11,'\'(56.2-68.6]\'',K,12,1320,2,35,21,dobry
249.9,'\'(-inf-31.4]\'',M,11,1600,1,7,48,dobry
429.69,'\'(56.2-68.6]\'',K,11,1730.13,0,197,48,zly
300,'\'(31.4-43.8]\'',K,12,1450,0,60,48,dobry
281.84,'\'(43.8-56.2]\'',K,12,1032,0,52,48,dobry
600,'\'(68.6-inf)\'',K,13,1936,0,504,48,dobry
400,'\'(56.2-68.6]\'',K,13,1547,0,37,48,dobry
500,'\'(-inf-31.4]\'',M,11,2327.94,0,39,48,dobry
348.26,'\'(31.4-43.8]\'',K,11,2927,7,205,48,dobry
300,'\'(56.2-68.6]\'',M,16,1865,0,336,48,dobry
500,'\'(56.2-68.6]\'',K,13,1879,0,40,48,dobry
600,'\'(-inf-31.4]\'',K,98,5000,0,5,48,dobry
0,'\'(43.8-56.2]\'',K,12,1036,0,26,10,zly
700,'\'(68.6-inf)\'',K,16,980,2,134,48,dobry
500,'\'(43.8-56.2]\'',M,11,1200,0,217,48,dobry
300,'\'(31.4-43.8]\'',M,11,2725,1,57,48,dobry
481.74,'\'(43.8-56.2]\'',M,13,1500,3,90,48,dobry
300,'\'(56.2-68.6]\'',K,99,900,0,94,48,dobry
1000,'\'(31.4-43.8]\'',K,11,1900,0,183,48,dobry
300,'\'(68.6-inf)\'',K,13,1257,0,132,48,dobry
300,'\'(56.2-68.6]\'',M,13,2110,2,105,48,dobry
584.54,'\'(56.2-68.6]\'',M,13,2474,1,19,48,dobry
780,'\'(43.8-56.2]\'',K,12,830.46,7,71,48,dobry
292.28,'\'(56.2-68.6]\'',K,13,1428.55,2,141,48,dobry
200,'\'(31.4-43.8]\'',K,11,1000,0,65,48,dobry
500,'\'(43.8-56.2]\'',M,11,2011,2,215,48,dobry
0,'\'(43.8-56.2]\'',M,12,1400,0,34,9,zly
300,'\'(-inf-31.4]\'',M,12,2100,0,14,10,dobry
200,'\'(43.8-56.2]\'',M,11,2100,4,54,48,dobry
303.13,'\'(31.4-43.8]\'',M,11,1261.98,1,40,48,zly
800,'\'(56.2-68.6]\'',K,13,5100,4,32,48,dobry
297.03,'\'(56.2-68.6]\'',K,13,1300,2,34,48,dobry
500,'\'(43.8-56.2]\'',M,13,2692.96,0,2,48,dobry
300,'\'(56.2-68.6]\'',M,11,1170,1,71,48,dobry
0,'\'(-inf-31.4]\'',M,12,1200,0,48,23,zly
700,'\'(56.2-68.6]\'',K,13,1507,0,63,48,zly
310.37,'\'(43.8-56.2]\'',K,11,1721.7,9,124,48,dobry
200,'\'(68.6-inf)\'',M,13,1162.41,3,108,48,dobry
300,'\'(-inf-31.4]\'',M,11,1590,3,57,48,dobry
478.16,'\'(43.8-56.2]\'',M,11,2500,3,378,48,dobry
400,'\'(56.2-68.6]\'',K,13,1514,0,50,48,dobry
400,'\'(68.6-inf)\'',K,13,1239.98,0,259,48,dobry
600,'\'(43.8-56.2]\'',K,16,1362,1,33,48,dobry
0,'\'(-inf-31.4]\'',K,12,1156,0,107,48,zly
600,'\'(68.6-inf)\'',M,13,2547,3,198,48,dobry
0,'\'(-inf-31.4]\'',K,12,1189,0,26,18,zly
300,'\'(43.8-56.2]\'',K,12,1294,0,15,10,dobry
292.26,'\'(31.4-43.8]\'',K,12,2000,1,158,48,dobry
0,'\'(31.4-43.8]\'',M,99,2300,0,12,0,zly
292.73,'\'(43.8-56.2]\'',K,11,1077.49,3,376,48,dobry
400,'\'(-inf-31.4]\'',M,12,1500,0,11,0,dobry
