@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
291.14,'\'(31.4-43.8]\'',K,12,2000,2,158,48,dobry
300,'\'(43.8-56.2]\'',K,11,1686,1,103,48,dobry
200,'\'(56.2-68.6]\'',M,12,1600,1,60,48,dobry
0,'\'(43.8-56.2]\'',K,11,1127.82,0,254,48,zly
326.67,'\'(56.2-68.6]\'',K,13,1668,10,96,48,dobry
0,'\'(56.2-68.6]\'',K,13,632,0,74,48,zly
500,'\'(68.6-inf)\'',K,13,1299,2,275,48,dobry
250,'\'(56.2-68.6]\'',K,13,1224,0,60,48,dobry
0,'\'(56.2-68.6]\'',M,11,2000,0,8,48,zly
0,'\'(31.4-43.8]\'',M,11,1300,0,158,48,zly
200,'\'(-inf-31.4]\'',M,12,1500,0,23,11,dobry
677.97,'\'(31.4-43.8]\'',K,11,1800,0,57,48,dobry
300,'\'(68.6-inf)\'',K,13,1446,2,73,48,dobry
0,'\'(43.8-56.2]\'',M,17,864.34,0,11,3,zly
400,'\'(43.8-56.2]\'',M,11,1100,0,110,48,dobry
500,'\'(43.8-56.2]\'',K,11,1800,10,58,48,dobry
200,'\'(56.2-68.6]\'',M,13,12220,0,76,48,dobry
300,'\'(56.2-68.6]\'',K,13,1431,0,51,48,dobry
500,'\'(43.8-56.2]\'',K,11,2470,0,359,48,dobry
0,'\'(-inf-31.4]\'',M,11,3272,0,15,48,zly
500,'\'(43.8-56.2]\'',M,11,1867.29,0,54,48,dobry
200,'\'(-inf-31.4]\'',K,12,1394,1,23,20,dobry
700,'\'(68.6-inf)\'',K,16,965,3,136,48,dobry
300,'\'(43.8-56.2]\'',K,12,1294,1,15,9,zly
200,'\'(56.2-68.6]\'',K,13,3700,10,32,48,dobry
200,'\'(43.8-56.2]\'',M,11,2094.17,6,246,48,dobry
200,'\'(68.6-inf)\'',K,13,910,10,133,48,dobry
500,'\'(56.2-68.6]\'',M,13,4388,0,60,48,dobry
600,'\'(56.2-68.6]\'',M,11,2300,0,77,48,dobry
300,'\'(68.6-inf)\'',K,13,1167.94,5,374,48,dobry
200,'\'(56.2-68.6]\'',K,13,1428.55,3,142,48,dobry
298.01,'\'(43.8-56.2]\'',K,11,1400,6,166,48,dobry
300,'\'(68.6-inf)\'',M,13,1426,10,82,48,dobry
500,'\'(68.6-inf)\'',K,13,1060,1,252,48,dobry
300,'\'(-inf-31.4]\'',K,12,1500,9,18,8,zly
200,'\'(-inf-31.4]\'',K,12,1100,6,29,9,dobry
300,'\'(56.2-68.6]\'',K,13,1100,7,110,48,dobry
738.02,'\'(68.6-inf)\'',K,13,1936,1,505,48,zly
300,'\'(31.4-43.8]\'',M,12,1400,1,2,1,dobry
0,'\'(-inf-31.4]\'',K,16,597,0,119,48,zly
400,'\'(43.8-56.2]\'',K,11,1840,1,361,48,dobry
200,'\'(68.6-inf)\'',K,13,965,9,250,48,dobry
300,'\'(43.8-56.2]\'',K,11,3000,4,98,48,dobry
300,'\'(56.2-68.6]\'',K,13,813.35,0,206,48,dobry
300,'\'(56.2-68.6]\'',K,11,1680,9,390,48,dobry
400,'\'(43.8-56.2]\'',K,12,1000,10,37,0,dobry
400,'\'(56.2-68.6]\'',M,12,1000,10,26,8,dobry
1000,'\'(31.4-43.8]\'',M,11,2263,0,80,48,dobry
500,'\'(56.2-68.6]\'',K,13,1170,1,83,48,dobry
400,'\'(56.2-68.6]\'',M,11,1660,0,55,48,dobry
300,'\'(56.2-68.6]\'',K,13,802.83,4,206,48,dobry
400.91,'\'(31.4-43.8]\'',K,11,1239.05,2,209,48,dobry
350,'\'(68.6-inf)\'',K,11,1348.95,2,119,48,dobry
300,'\'(68.6-inf)\'',M,13,1642.87,4,74,48,dobry
200,'\'(43.8-56.2]\'',K,16,749.28,10,70,48,dobry
800,'\'(43.8-56.2]\'',M,11,3200,0,194,48,dobry
600,'\'(56.2-68.6]\'',K,13,1233,3,129,48,dobry
200,'\'(56.2-68.6]\'',K,16,634,9,57,48,dobry
300,'\'(43.8-56.2]\'',K,98,911,0,104,48,dobry
228.74,'\'(56.2-68.6]\'',K,13,1582.15,2,111,48,dobry
0,'\'(43.8-56.2]\'',M,98,1170,0,12,48,zly
400,'\'(56.2-68.6]\'',K,16,1406,0,121,48,dobry
203.42,'\'(-inf-31.4]\'',M,11,1888.27,4,1,48,dobry
400,'\'(56.2-68.6]\'',K,98,980,0,15,48,dobry
200,'\'(43.8-56.2]\'',K,11,2800,5,15,48,dobry
200,'\'(56.2-68.6]\'',K,13,975,9,33,48,dobry
1256.49,'\'(43.8-56.2]\'',K,16,2300,1,68,48,dobry
449.94,'\'(43.8-56.2]\'',K,11,2245.01,4,151,48,dobry
200,'\'(31.4-43.8]\'',K,11,1350,1,32,48,dobry
285.11,'\'(56.2-68.6]\'',K,12,1320,3,35,19,zly
600,'\'(56.2-68.6]\'',K,11,2103.84,0,174,48,dobry
477.11,'\'(43.8-56.2]\'',M,13,2692.96,0,4,48,zly
500,'\'(-inf-31.4]\'',K,12,1447,10,35,8,dobry
0,'\'(56.2-68.6]\'',K,13,1055,0,98,48,zly
626.93,'\'(56.2-68.6]\'',K,13,3251,4,143,48,dobry
0,'\'(56.2-68.6]\'',K,13,1907,0,63,48,zly
500,'\'(68.6-inf)\'',M,13,1150,2,144,48,dobry
300,'\'(31.4-43.8]\'',M,11,1100,0,0,48,dobry
600,'\'(-inf-31.4]\'',K,11,2100,1,28,48,dobry
400,'\'(-inf-31.4]\'',K,99,1155,0,5,2,dobry
500,'\'(43.8-56.2]\'',K,17,990,6,85,48,dobry
500,'\'(43.8-56.2]\'',M,11,2080,4,324,48,dobry
400,'\'(56.2-68.6]\'',M,16,1473.04,7,171,48,dobry
200,'\'(56.2-68.6]\'',K,99,780,6,12,5,dobry
1000,'\'(68.6-inf)\'',K,13,2344.62,0,76,48,dobry
400,'\'(56.2-68.6]\'',K,13,1155,4,20,48,zly
1000,'\'(56.2-68.6]\'',M,13,3074,0,207,48,dobry
1000,'\'(31.4-43.8]\'',K,98,6000,6,23,48,dobry
800,'\'(43.8-56.2]\'',K,13,3440,10,57,48,dobry
200,'\'(-inf-31.4]\'',M,12,2100,0,23,19,dobry
300,'\'(31.4-43.8]\'',M,99,1500,1,10,6,dobry
200,'\'(56.2-68.6]\'',K,13,1300,0,40,48,dobry
200,'\'(56.2-68.6]\'',K,13,1635,10,125,48,dobry
300,'\'(43.8-56.2]\'',M,17,1214,0,108,48,dobry
200,'\'(68.6-inf)\'',K,13,1300,1,199,48,dobry
390.85,'\'(56.2-68.6]\'',K,16,1589,3,32,48,dobry
700,'\'(31.4-43.8]\'',K,11,1540,1,44,48,dobry
700,'\'(56.2-68.6]\'',M,13,1553,1,114,48,dobry
300,'\'(31.4-43.8]\'',K,12,1323.55,1,75,48,zly
0,'\'(31.4-43.8]\'',K,11,1890,0,46,48,zly
200,'\'(56.2-68.6]\'',M,13,1559,1,77,48,dobry
0,'\'(56.2-68.6]\'',K,16,1446,0,6,48,zly
222.73,'\'(43.8-56.2]\'',M,16,1045,9,205,48,dobry
200,'\'(56.2-68.6]\'',M,13,1162,10,227,48,dobry
1000,'\'(68.6-inf)\'',K,13,2090,2,251,48,dobry
779.89,'\'(43.8-56.2]\'',K,12,830.46,8,71,48,dobry
342.26,'\'(68.6-inf)\'',K,13,1412,4,209,48,dobry
600,'\'(56.2-68.6]\'',M,16,837,2,237,48,dobry
300,'\'(68.6-inf)\'',K,13,1027,6,198,48,dobry
500,'\'(31.4-43.8]\'',M,11,2200,0,91,48,dobry
200,'\'(31.4-43.8]\'',K,12,599.03,1,26,1,dobry
250,'\'(43.8-56.2]\'',K,99,1055,0,13,5,dobry
310.37,'\'(43.8-56.2]\'',K,11,1721.7,0,126,48,dobry
600,'\'(68.6-inf)\'',M,13,2609,2,196,48,dobry
289.69,'\'(68.6-inf)\'',K,13,1104.65,3,167,48,dobry
650,'\'(43.8-56.2]\'',K,11,1966,0,84,48,dobry
400,'\'(43.8-56.2]\'',K,11,1756,0,4,48,dobry
200,'\'(31.4-43.8]\'',K,12,1865,7,34,8,dobry
257.27,'\'(43.8-56.2]\'',M,11,2100,7,43,48,dobry
349.66,'\'(56.2-68.6]\'',M,13,1601.87,6,51,48,dobry
497.95,'\'(68.6-inf)\'',K,13,1200,9,124,48,dobry
200,'\'(68.6-inf)\'',K,13,1200,3,124,48,dobry
500,'\'(56.2-68.6]\'',K,16,2084.79,1,147,48,dobry
700,'\'(56.2-68.6]\'',K,13,1872,10,40,48,dobry
200,'\'(56.2-68.6]\'',K,13,1000,2,63,48,dobry
638.47,'\'(43.8-56.2]\'',K,11,2800,2,324,48,dobry
200,'\'(56.2-68.6]\'',K,99,736,2,175,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,9,311,48,zly
400,'\'(-inf-31.4]\'',K,17,1200,2,179,48,dobry
0,'\'(-inf-31.4]\'',M,99,900,0,1,0,zly
2500,'\'(68.6-inf)\'',M,13,2612,2,87,48,dobry
350,'\'(43.8-56.2]\'',M,12,1001,0,130,48,dobry
800,'\'(56.2-68.6]\'',M,11,1200,1,135,48,dobry
400,'\'(56.2-68.6]\'',K,13,1137.19,2,102,48,dobry
299.26,'\'(31.4-43.8]\'',K,11,1100,1,63,48,dobry
940,'\'(56.2-68.6]\'',K,13,930,4,136,48,dobry
242.26,'\'(31.4-43.8]\'',K,12,1300,2,7,2,dobry
300,'\'(68.6-inf)\'',K,13,1000,7,70,48,dobry
597.15,'\'(43.8-56.2]\'',M,12,600,11,27,11,dobry
500,'\'(43.8-56.2]\'',K,11,1700,2,95,48,dobry
0,'\'(68.6-inf)\'',K,13,1154.88,0,183,48,zly
600,'\'(68.6-inf)\'',K,13,640,4,144,48,dobry
261.52,'\'(56.2-68.6]\'',K,13,1189,10,75,48,dobry
400,'\'(68.6-inf)\'',K,13,1140,2,243,48,dobry
400,'\'(43.8-56.2]\'',K,12,2200,0,11,2,dobry
400,'\'(68.6-inf)\'',K,13,1594.57,1,42,48,dobry
1000,'\'(68.6-inf)\'',K,13,2100,1,61,48,dobry
200,'\'(68.6-inf)\'',K,13,730,9,566,48,dobry
500,'\'(56.2-68.6]\'',K,13,1883.53,1,53,48,dobry
300,'\'(56.2-68.6]\'',M,12,1231,2,7,2,dobry
249.3,'\'(56.2-68.6]\'',K,16,2100,5,44,48,dobry
200,'\'(56.2-68.6]\'',M,16,1600,1,17,48,dobry
900,'\'(56.2-68.6]\'',K,17,684,10,209,48,dobry
635.71,'\'(56.2-68.6]\'',K,13,960.96,4,86,48,dobry
200,'\'(56.2-68.6]\'',K,13,972.77,2,83,48,dobry
467.11,'\'(43.8-56.2]\'',K,11,1738.57,3,63,48,dobry
800,'\'(43.8-56.2]\'',K,11,1764,4,70,48,dobry
1000,'\'(56.2-68.6]\'',K,13,1530,3,30,48,dobry
300,'\'(31.4-43.8]\'',K,12,1027,10,59,48,dobry
202.28,'\'(56.2-68.6]\'',M,11,3000,11,218,48,dobry
235.94,'\'(31.4-43.8]\'',K,98,1200,10,51,48,dobry
560,'\'(56.2-68.6]\'',K,13,930,7,99,48,dobry
300,'\'(31.4-43.8]\'',K,11,1286.16,3,123,48,dobry
350,'\'(68.6-inf)\'',K,13,768.89,11,263,48,dobry
200,'\'(31.4-43.8]\'',M,11,1800,10,171,48,dobry
476.83,'\'(56.2-68.6]\'',M,11,1250,0,71,48,dobry
300,'\'(31.4-43.8]\'',K,12,1382,4,35,8,dobry
700,'\'(31.4-43.8]\'',M,98,3014,1,108,48,dobry
700,'\'(56.2-68.6]\'',K,16,892,0,206,48,dobry
487.11,'\'(56.2-68.6]\'',K,13,1711,1,35,48,dobry
400,'\'(56.2-68.6]\'',K,13,1577.98,6,66,48,dobry
598.85,'\'(43.8-56.2]\'',M,12,3500,5,215,48,dobry
377.11,'\'(56.2-68.6]\'',K,13,1474.55,0,71,48,zly
298.75,'\'(56.2-68.6]\'',K,16,1389,5,97,48,dobry
254.01,'\'(56.2-68.6]\'',K,16,634.64,9,142,48,dobry
300,'\'(43.8-56.2]\'',K,11,980,1,205,48,dobry
0,'\'(-inf-31.4]\'',M,12,2500,0,24,13,zly
786.49,'\'(56.2-68.6]\'',M,13,2474,5,21,48,dobry
500,'\'(31.4-43.8]\'',K,12,1500,0,9,4,dobry
0,'\'(31.4-43.8]\'',M,12,2300,0,206,48,zly
0,'\'(31.4-43.8]\'',M,12,1627,0,2,1,zly
700,'\'(43.8-56.2]\'',K,11,1500,0,116,48,dobry
500,'\'(56.2-68.6]\'',K,13,1522.63,0,48,48,dobry
0,'\'(56.2-68.6]\'',M,13,1026,0,51,48,zly
490,'\'(43.8-56.2]\'',M,11,1460.17,7,67,48,dobry
535.49,'\'(31.4-43.8]\'',M,11,3898,5,186,48,zly
300,'\'(56.2-68.6]\'',K,13,810,11,39,48,dobry
200,'\'(-inf-31.4]\'',M,17,985,2,20,1,dobry
500,'\'(43.8-56.2]\'',M,11,1320,10,348,48,dobry
700,'\'(56.2-68.6]\'',K,13,2066,10,135,48,dobry
400,'\'(56.2-68.6]\'',M,13,1944,0,156,48,dobry
0,'\'(31.4-43.8]\'',K,11,1499,0,73,48,zly
499.99,'\'(43.8-56.2]\'',M,11,2600,1,8,48,dobry
282.84,'\'(56.2-68.6]\'',K,13,1014,4,188,48,dobry
300,'\'(31.4-43.8]\'',M,99,750,2,7,4,dobry
400,'\'(56.2-68.6]\'',M,15,1100.79,1,96,48,dobry
200,'\'(43.8-56.2]\'',M,11,2284.23,5,305,48,dobry
0,'\'(31.4-43.8]\'',M,17,498,0,105,48,zly
1000,'\'(56.2-68.6]\'',M,13,3772,0,92,48,dobry
300,'\'(43.8-56.2]\'',K,16,1500,5,7,48,dobry
300,'\'(31.4-43.8]\'',K,12,1200,10,16,1,dobry
600,'\'(43.8-56.2]\'',M,11,2100,0,125,48,dobry
200,'\'(56.2-68.6]\'',K,15,736.36,2,146,48,dobry
500,'\'(-inf-31.4]\'',K,11,2300,0,28,48,dobry
830,'\'(56.2-68.6]\'',K,13,1400,5,252,48,zly
0,'\'(-inf-31.4]\'',K,17,1330,0,23,4,zly
500,'\'(43.8-56.2]\'',K,12,1230,0,69,48,dobry
315.12,'\'(68.6-inf)\'',M,13,1024.9,10,145,48,dobry
0,'\'(31.4-43.8]\'',K,12,860,0,6,1,zly
200,'\'(43.8-56.2]\'',M,12,1188,0,18,3,dobry
500,'\'(31.4-43.8]\'',M,12,2000,0,71,48,dobry
576.48,'\'(56.2-68.6]\'',K,13,1427.8,2,33,48,dobry
291.43,'\'(56.2-68.6]\'',K,16,957,2,206,48,dobry
202.87,'\'(56.2-68.6]\'',K,13,1400.96,9,117,48,dobry
350,'\'(43.8-56.2]\'',K,12,1700,11,69,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,2,211,48,dobry
0,'\'(43.8-56.2]\'',K,11,1504,0,228,48,zly
500,'\'(31.4-43.8]\'',K,12,1450,0,60,48,dobry
200,'\'(43.8-56.2]\'',M,12,1100,1,12,0,dobry
0,'\'(-inf-31.4]\'',M,12,1000,0,16,8,zly
400,'\'(68.6-inf)\'',M,13,1097,1,85,48,dobry
500,'\'(68.6-inf)\'',K,13,1314.76,4,256,48,dobry
296.52,'\'(31.4-43.8]\'',K,11,1380,2,32,48,dobry
400,'\'(43.8-56.2]\'',K,12,976,0,8,5,dobry
0,'\'(-inf-31.4]\'',M,99,1000,0,2,0,zly
200,'\'(56.2-68.6]\'',K,16,534,0,167,48,dobry
2548.44,'\'(56.2-68.6]\'',M,98,20000,1,136,48,dobry
250,'\'(31.4-43.8]\'',K,11,1520,0,27,48,dobry
300,'\'(43.8-56.2]\'',K,12,111.86,1,23,20,dobry
300,'\'(56.2-68.6]\'',K,11,1800,3,117,48,dobry
218.75,'\'(56.2-68.6]\'',K,13,1090.14,0,81,48,zly
597.54,'\'(43.8-56.2]\'',K,11,1300,1,74,48,dobry
200,'\'(68.6-inf)\'',K,16,959.6,10,121,48,dobry
200,'\'(56.2-68.6]\'',K,13,1130,2,109,48,dobry
400,'\'(56.2-68.6]\'',K,11,1500,9,91,48,dobry
300,'\'(56.2-68.6]\'',K,13,1051.89,2,18,48,dobry
300,'\'(56.2-68.6]\'',K,13,1240,3,76,48,dobry
400,'\'(56.2-68.6]\'',K,16,1411,7,72,48,dobry
200,'\'(31.4-43.8]\'',K,12,980,10,17,0,dobry
739.39,'\'(31.4-43.8]\'',K,11,3100,0,127,48,zly
739.39,'\'(31.4-43.8]\'',K,11,3178.76,0,127,48,dobry
300,'\'(56.2-68.6]\'',K,11,1187.06,0,139,48,dobry
500,'\'(68.6-inf)\'',K,13,1302.55,0,261,48,dobry
500,'\'(31.4-43.8]\'',K,11,1600,0,185,48,dobry
400,'\'(-inf-31.4]\'',M,12,1300,0,35,32,dobry
500,'\'(31.4-43.8]\'',K,11,2824,2,107,48,dobry
500,'\'(-inf-31.4]\'',M,11,2151,0,45,48,dobry
300,'\'(56.2-68.6]\'',M,12,1131,0,0,0,dobry
300,'\'(68.6-inf)\'',M,13,1271,0,156,48,dobry
250,'\'(56.2-68.6]\'',K,13,777,0,99,48,dobry
1000,'\'(43.8-56.2]\'',M,13,2651.19,0,122,48,dobry
300,'\'(43.8-56.2]\'',K,11,1400,1,122,48,dobry
0,'\'(31.4-43.8]\'',K,12,640,0,15,10,zly
500,'\'(56.2-68.6]\'',K,13,1087.72,0,7,48,dobry
500,'\'(56.2-68.6]\'',K,13,1241,0,3,48,dobry
408.16,'\'(31.4-43.8]\'',M,11,2700,9,21,48,dobry
399.69,'\'(43.8-56.2]\'',M,11,3300,4,242,48,dobry
300,'\'(43.8-56.2]\'',M,11,1300,1,458,48,dobry
200,'\'(43.8-56.2]\'',M,99,1416,0,4,1,dobry
200,'\'(56.2-68.6]\'',K,13,668,9,145,48,dobry
400,'\'(56.2-68.6]\'',M,11,1842.86,9,13,48,dobry
437.11,'\'(56.2-68.6]\'',K,13,1000,10,74,48,dobry
500,'\'(56.2-68.6]\'',K,13,997,0,85,48,dobry
500,'\'(56.2-68.6]\'',M,13,1217,0,57,48,dobry
477.92,'\'(43.8-56.2]\'',M,13,1500,5,92,48,dobry
584.54,'\'(31.4-43.8]\'',K,11,2709.34,1,187,48,dobry
200,'\'(68.6-inf)\'',K,13,785,7,70,48,dobry
500,'\'(43.8-56.2]\'',K,98,2000,0,7,48,dobry
300,'\'(56.2-68.6]\'',K,13,1098,2,62,48,dobry
384.32,'\'(56.2-68.6]\'',K,13,790.98,4,228,48,dobry
0,'\'(31.4-43.8]\'',K,11,1260,0,8,48,zly
300,'\'(43.8-56.2]\'',K,12,1115,1,24,16,dobry
400.88,'\'(56.2-68.6]\'',M,11,2600,2,141,48,dobry
500,'\'(56.2-68.6]\'',M,13,3245.27,0,9,48,dobry
498.8,'\'(56.2-68.6]\'',K,13,1800,2,75,48,dobry
342.55,'\'(68.6-inf)\'',M,13,562,6,87,48,dobry
400,'\'(56.2-68.6]\'',K,13,1547,0,39,48,dobry
731.95,'\'(56.2-68.6]\'',K,13,1431,3,253,48,dobry
387.11,'\'(68.6-inf)\'',K,13,1471,3,116,48,dobry
300,'\'(68.6-inf)\'',K,13,729.03,4,263,48,dobry
500,'\'(-inf-31.4]\'',M,11,1600,3,9,48,dobry
500,'\'(43.8-56.2]\'',M,13,864.34,5,162,48,dobry
400,'\'(56.2-68.6]\'',K,16,1151.1,0,38,48,dobry
200,'\'(68.6-inf)\'',M,13,1103,1,49,48,dobry
450,'\'(68.6-inf)\'',M,13,1162.41,1,110,48,dobry
254.06,'\'(56.2-68.6]\'',M,13,2000,4,40,48,dobry
200,'\'(56.2-68.6]\'',M,13,1530,1,41,48,dobry
300,'\'(56.2-68.6]\'',K,13,744.07,1,18,48,dobry
300,'\'(31.4-43.8]\'',M,11,2725,3,58,48,dobry
500,'\'(31.4-43.8]\'',K,11,2505,1,170,48,zly
200,'\'(56.2-68.6]\'',M,16,808.99,0,255,48,dobry
200,'\'(56.2-68.6]\'',K,13,790.98,0,228,48,dobry
500,'\'(43.8-56.2]\'',M,11,1200,2,219,48,dobry
491.87,'\'(56.2-68.6]\'',K,13,962,6,71,48,dobry
500,'\'(68.6-inf)\'',M,13,1500,0,59,48,dobry
0,'\'(43.8-56.2]\'',K,17,898.28,0,98,48,zly
500,'\'(68.6-inf)\'',K,13,1647,0,263,48,dobry
500,'\'(56.2-68.6]\'',K,13,1932,0,108,48,dobry
237.15,'\'(43.8-56.2]\'',K,17,864.6,2,8,0,dobry
200,'\'(68.6-inf)\'',K,13,1902,0,199,48,dobry
400,'\'(68.6-inf)\'',K,13,1186.72,0,267,48,dobry
500,'\'(56.2-68.6]\'',M,16,1770,11,95,48,zly
0,'\'(56.2-68.6]\'',K,13,851.92,0,87,48,zly
300,'\'(43.8-56.2]\'',K,12,1200,1,27,23,dobry
400,'\'(31.4-43.8]\'',K,12,2139,1,132,48,dobry
300,'\'(-inf-31.4]\'',M,12,2135,0,14,10,dobry
400,'\'(56.2-68.6]\'',M,16,1865,1,338,48,dobry
300,'\'(68.6-inf)\'',K,13,821.35,2,252,48,dobry
600,'\'(43.8-56.2]\'',K,11,1443,5,39,48,dobry
200,'\'(-inf-31.4]\'',M,11,1200,0,21,48,dobry
0,'\'(68.6-inf)\'',M,13,1273,0,117,48,zly
200,'\'(43.8-56.2]\'',M,12,1188,1,18,2,zly
1000,'\'(43.8-56.2]\'',K,11,5800,10,60,48,dobry
561.46,'\'(43.8-56.2]\'',M,12,1952.35,0,11,1,dobry
500,'\'(-inf-31.4]\'',M,11,2327.94,0,41,48,dobry
528.13,'\'(56.2-68.6]\'',M,13,2533.98,3,21,48,dobry
300,'\'(-inf-31.4]\'',K,11,1300,0,0,48,dobry
389.69,'\'(31.4-43.8]\'',M,11,3800,1,15,48,dobry
200,'\'(56.2-68.6]\'',M,13,1181,1,121,48,dobry
300,'\'(56.2-68.6]\'',K,13,783,2,159,48,dobry
500,'\'(68.6-inf)\'',M,13,1689.98,0,87,48,dobry
400,'\'(56.2-68.6]\'',K,13,1293,0,159,48,dobry
0,'\'(56.2-68.6]\'',M,16,624.26,0,135,48,zly
600,'\'(43.8-56.2]\'',K,16,1419,3,35,48,dobry
659.6,'\'(31.4-43.8]\'',K,98,5000,0,90,48,dobry
1000,'\'(31.4-43.8]\'',K,11,2200,0,43,48,dobry
577.11,'\'(56.2-68.6]\'',M,16,1398,1,399,48,dobry
292.27,'\'(43.8-56.2]\'',K,11,1077.49,5,378,48,dobry
800,'\'(56.2-68.6]\'',K,13,5100,6,34,48,dobry
0,'\'(-inf-31.4]\'',M,12,1056.36,0,59,48,zly
400,'\'(56.2-68.6]\'',K,99,900,1,94,48,dobry
500,'\'(31.4-43.8]\'',K,11,2200,1,17,48,dobry
349.97,'\'(56.2-68.6]\'',K,13,1571,2,52,48,dobry
200,'\'(-inf-31.4]\'',M,11,1700,0,21,48,dobry
292.35,'\'(31.4-43.8]\'',K,11,2927,9,207,48,dobry
300,'\'(56.2-68.6]\'',M,13,1611,0,147,48,dobry
400,'\'(-inf-31.4]\'',M,12,1490,0,31,18,dobry
289.69,'\'(56.2-68.6]\'',K,13,1650,3,88,48,dobry
600,'\'(31.4-43.8]\'',K,11,1331.21,10,25,48,dobry
300,'\'(43.8-56.2]\'',K,11,1040,10,99,48,dobry
0,'\'(43.8-56.2]\'',K,16,1300,0,384,48,zly
450,'\'(68.6-inf)\'',K,13,1019,3,138,48,dobry
400,'\'(68.6-inf)\'',K,13,1900,7,127,48,dobry
389.72,'\'(43.8-56.2]\'',K,98,3000,7,91,48,dobry
400,'\'(-inf-31.4]\'',K,12,1570,0,19,11,dobry
665.44,'\'(43.8-56.2]\'',K,11,3200,10,60,48,dobry
550,'\'(43.8-56.2]\'',K,12,1675,10,15,0,dobry
289.69,'\'(56.2-68.6]\'',K,13,850,10,73,48,dobry
300,'\'(-inf-31.4]\'',M,12,1091.86,0,4,1,dobry
499.55,'\'(-inf-31.4]\'',M,11,2259,1,77,48,dobry
800,'\'(56.2-68.6]\'',M,13,3900,0,120,48,zly
300,'\'(-inf-31.4]\'',M,11,1900,2,64,48,dobry
700,'\'(56.2-68.6]\'',M,11,2800,3,102,48,zly
0,'\'(31.4-43.8]\'',M,12,1500,0,120,48,zly
400,'\'(56.2-68.6]\'',K,16,1693,0,70,48,dobry
300,'\'(56.2-68.6]\'',K,13,796.09,0,62,48,dobry
375.82,'\'(43.8-56.2]\'',M,11,2011,4,217,48,dobry
829.22,'\'(56.2-68.6]\'',K,13,1362,10,62,48,dobry
1000,'\'(56.2-68.6]\'',M,12,2500,9,22,11,dobry
300,'\'(68.6-inf)\'',K,13,1257,2,134,48,dobry
400,'\'(68.6-inf)\'',K,13,1016,0,195,48,dobry
0,'\'(43.8-56.2]\'',M,11,1111,0,73,48,zly
200,'\'(43.8-56.2]\'',M,12,1000,0,62,48,dobry
1000,'\'(43.8-56.2]\'',M,11,4000,0,16,48,dobry
299.55,'\'(43.8-56.2]\'',K,98,1100,1,57,48,dobry
697.44,'\'(31.4-43.8]\'',K,11,2400,9,119,48,dobry
294.32,'\'(43.8-56.2]\'',K,11,1400,7,167,48,dobry
500,'\'(43.8-56.2]\'',M,11,1100,0,111,48,dobry
450,'\'(31.4-43.8]\'',M,11,1931,1,73,48,dobry
200,'\'(56.2-68.6]\'',K,13,984,6,17,48,dobry
586.86,'\'(43.8-56.2]\'',K,11,2800,2,66,48,dobry
286.67,'\'(31.4-43.8]\'',M,11,1058,6,20,48,dobry
470.82,'\'(43.8-56.2]\'',M,11,2500,5,380,48,dobry
0,'\'(43.8-56.2]\'',M,99,1700,0,2,0,zly
600,'\'(56.2-68.6]\'',K,13,1706,0,121,48,dobry
400,'\'(56.2-68.6]\'',K,13,1208,2,86,48,dobry
500,'\'(56.2-68.6]\'',K,13,2827.13,0,86,48,dobry
248.56,'\'(56.2-68.6]\'',K,13,1224,1,61,48,dobry
400,'\'(56.2-68.6]\'',M,16,879.17,0,312,48,dobry
382.98,'\'(43.8-56.2]\'',M,13,4200,3,63,48,dobry
487.15,'\'(68.6-inf)\'',K,13,951,1,168,48,dobry
500,'\'(68.6-inf)\'',K,13,1060,2,253,48,dobry
281.84,'\'(43.8-56.2]\'',K,12,1032,2,52,48,dobry
400,'\'(43.8-56.2]\'',K,11,1150,0,39,48,dobry
300,'\'(68.6-inf)\'',K,13,1167.94,6,375,48,dobry
0,'\'(43.8-56.2]\'',K,11,890,0,366,48,zly
0,'\'(-inf-31.4]\'',M,99,968,0,5,0,zly
300,'\'(56.2-68.6]\'',M,11,1170,3,73,48,dobry
239.61,'\'(56.2-68.6]\'',M,11,2000,5,75,48,dobry
