status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
splacona,200,58,M,11,1800,2,164,48,0
odmowa,0,59,M,12,918,0,86,48,0
splacona,300,25,M,12,1440,0,23,16,0
splacona_cz,300,38,K,12,1382,2,35,10,0
splacona_cz,300,62,K,13,992.96,0,16,48,0
splacona,1000,58,M,13,3600,3,90,48,0
splacona_cz,600,33,M,11,2200,0,132,48,4
splacona_cz,387.11,75,K,13,1373,1,114,48,0
splacona_cz,280.88,63,M,13,2000,2,38,48,0
splacona_cz,400,45,M,11,3300,2,240,48,0
splacona_cz,200,73,K,13,785,5,68,48,0
splacona,650,60,M,13,3900,1,118,48,2
splacona,311.65,36,K,11,2709.34,9,185,48,0
splacona_cz,200,50,M,12,822,0,130,48,0
splacona_cz,400,50,K,11,1764,2,68,48,0
splacona,300,69,M,13,1689.98,0,85,48,0
odmowa,0,28,K,12,1082,0,7,4,0
splacona_cz,500,59,M,16,1770,9,93,48,0
splacona,290,62,K,13,1280,9,21,48,0
splacona,500,63,K,13,1474.55,1,69,48,21
splacona_cz,300,59,K,13,1240,1,74,48,0
splacona_cz,500,61,K,13,1800,0,73,48,0
splacona_cz,240,57,K,11,1172.2,8,41,48,3
windykacja,500,39,M,13,1648,0,17,48,1862
splacona_cz,643.05,52,K,11,3200,8,58,48,1
splacona,585.7,62,K,13,1050,9,143,48,0
odmowa,0,26,M,12,1135,0,23,14,0
splacona_cz,700,60,M,11,2800,1,100,48,0
splacona_cz,1000,58,M,12,2500,7,10,1,0
splacona_cz,200,78,K,13,1100,0,252,48,5
splacona_cz,836,62,K,13,1362,8,60,48,2
splacona_cz,400,61,K,13,1208,0,84,48,0
splacona_cz,400,68,K,13,1094,1,188,48,5
splacona_cz,390.11,60,K,12,1320,2,35,21,12
splacona_cz,249.9,26,M,11,1600,1,7,48,0
windykacja_sp,429.69,57,K,11,1730.13,0,197,48,239
splacona,300,41,K,12,1450,0,60,48,0
splacona_cz,281.84,47,K,12,1032,0,52,48,4
splacona_cz,600,74,K,13,1936,0,504,48,8
splacona,400,64,K,13,1547,0,37,48,0
splacona,500,25,M,11,2327.94,0,39,48,4
splacona_cz,348.26,39,K,11,2927,7,205,48,0
splacona,300,61,M,16,1865,0,336,48,0
splacona_cz,500,63,K,13,1879,0,40,48,1
splacona_cz,600,24,K,98,5000,0,5,48,4
odmowa,0,56,K,12,1036,0,26,10,0
splacona_cz,700,69,K,16,980,2,134,48,7
splacona_cz,500,54,M,11,1200,0,217,48,0
splacona_cz,300,32,M,11,2725,1,57,48,0
splacona_cz,481.74,48,M,13,1500,3,90,48,0
splacona,300,60,K,99,900,0,94,48,0
splacona,1000,37,K,11,1900,0,183,48,13
splacona_cz,300,71,K,13,1257,0,132,48,3
splacona_cz,300,67,M,13,2110,2,105,48,0
splacona_cz,584.54,63,M,13,2474,1,19,48,0
splacona_cz,780,48,K,12,830.46,7,71,48,13
splacona_cz,292.28,67,K,13,1428.55,2,141,48,6
splacona,200,42,K,11,1000,0,65,48,3
splacona_cz,500,53,M,11,2011,2,215,48,4
odmowa,0,52,M,12,1400,0,34,9,0
splacona_cz,300,31,M,12,2100,0,14,10,0
splacona,200,46,M,11,2100,4,54,48,0
windykacja_sp,303.13,41,M,11,1261.98,1,40,48,24
splacona_cz,800,62,K,13,5100,4,32,48,0
splacona,297.03,60,K,13,1300,2,34,48,0
splacona,500,47,M,13,2692.96,0,2,48,11
splacona_cz,300,57,M,11,1170,1,71,48,0
odmowa,0,26,M,12,1200,0,48,23,0
windykacja,700,65,K,13,1507,0,63,48,1860
splacona,310.37,55,K,11,1721.7,9,124,48,13
splacona,200,69,M,13,1162.41,3,108,48,0
splacona_cz,300,30,M,11,1590,3,57,48,2
splacona_cz,478.16,50,M,11,2500,3,378,48,2
splacona_cz,400,59,K,13,1514,0,50,48,0
splacona_cz,400,79,K,13,1239.98,0,259,48,0
splacona_cz,600,54,K,16,1362,1,33,48,0
odmowa,0,29,K,12,1156,0,107,48,0
splacona_cz,600,81,M,13,2547,3,198,48,0
odmowa,0,21,K,12,1189,0,26,18,0
splacona_cz,300,46,K,12,1294,0,15,10,0
splacona_cz,292.26,38,K,12,2000,1,158,48,3
odmowa,0,36,M,99,2300,0,12,0,0
splacona_cz,292.73,49,K,11,1077.49,3,376,48,0
splacona,400,22,M,12,1500,0,11,0,0
splacona_cz,400,63,K,13,1650,1,86,48,0
splacona,400,61,K,13,1425,1,83,48,0
splacona_cz,600,33,K,11,1331.21,8,23,48,1
windykacja_sp,300,54,M,11,981,1,24,48,170
odmowa,0,29,K,99,1300,0,118,48,0
odmowa,0,54,K,12,1107,0,14,7,0
splacona_cz,300,55,K,17,864.6,0,7,1,0
splacona_cz,200,27,K,12,1100,5,29,10,4
splacona_cz,400.91,40,K,11,1239.05,1,208,48,5
splacona_cz,300,68,K,13,783,0,157,48,0
splacona_cz,400,76,K,13,1900,5,125,48,0
splacona,450,47,M,11,2300,1,124,48,0
splacona_cz,389.72,53,K,98,3000,5,89,48,0
splacona,200,54,K,99,1100,6,57,48,0
splacona_cz,200,62,K,13,984,4,15,48,0
splacona,290.83,62,K,13,1090.14,8,79,48,21
splacona,500,57,M,13,1900,9,154,48,0
splacona,476.83,62,M,11,1250,0,69,48,16
splacona_cz,326.67,64,K,13,1668,9,95,48,2
splacona_cz,300,30,M,11,1900,0,62,48,0
splacona_cz,299.42,78,K,13,1239,1,274,48,2
splacona_cz,500,76,M,13,1150,1,142,48,8
splacona_cz,200,71,K,13,865,9,132,48,3
windykacja_sp,300,66,K,13,1400,2,122,48,164
splacona_cz,200,65,K,13,796.09,0,60,48,0
splacona,300,54,K,16,1740,2,118,48,11
splacona_cz,397.11,52,M,13,4200,1,61,48,0
splacona,300,64,M,11,1660,0,54,48,3
splacona_cz,300,40,K,12,1323.55,0,75,48,7
splacona_cz,384.3,36,M,11,1058,4,18,48,0
splacona,200,27,M,12,1100,0,59,48,2
splacona_cz,300,55,K,11,1686,0,102,48,0
splacona_cz,299.01,53,K,11,1400,5,165,48,2
windykacja,200,28,M,17,728,9,130,48,1855
splacona_cz,200,21,M,17,985,0,20,2,0
splacona,500,37,M,12,2000,1,71,48,0
odmowa,0,25,M,12,1075,0,23,18,0
splacona_cz,200,57,M,12,1600,0,60,48,0
splacona,200,66,M,13,1611,1,145,48,3
splacona_cz,300,80,K,13,1167.94,4,373,48,1
splacona_cz,500,52,K,11,1700,8,310,48,8
splacona_cz,300,71,K,13,1389,1,72,48,0
windykacja,784.54,56,K,12,1350,2,27,0,1854
splacona,300,34,K,12,2139,0,132,48,0
splacona_cz,300,58,K,11,1680,8,389,48,1
splacona_cz,500,50,K,11,1800,9,57,48,0
splacona_cz,200,38,K,12,599.03,0,24,1,7
splacona_cz,200,21,K,12,1394,0,23,21,0
splacona_cz,400,67,K,13,850,8,71,48,0
splacona_cz,200,54,M,11,2094.17,5,245,48,0
splacona,1000,70,K,13,2291,5,75,48,0
splacona_cz,300,71,M,13,1642.87,3,73,48,1
splacona_cz,500,71,K,13,1200,8,123,48,7
splacona_cz,200,71,K,13,1200,2,123,48,7
splacona_cz,300,46,K,11,3000,3,97,48,0
splacona_cz,300,23,K,12,1500,8,18,9,0
splacona_cz,203.42,30,M,11,1888.27,3,81,48,3
splacona,200,57,K,98,980,8,14,48,0
splacona_cz,300,39,M,12,1400,0,2,2,0
splacona,300,55,K,11,1756,1,3,48,0
odmowa,0,58,K,11,2698,0,31,48,0
splacona,200,66,K,13,974,1,205,48,0
splacona_cz,300,72,M,13,1426,9,81,48,0
splacona_cz,300,64,K,13,1100,6,109,48,0
splacona_cz,200,76,K,13,965,8,249,48,0
odmowa,0,55,K,11,1136,0,8,48,0
splacona_cz,200,63,K,13,3700,9,31,48,0
splacona_cz,453.84,45,K,11,2245.01,3,149,48,3
splacona_cz,350,74,K,11,1348.95,1,118,48,1
odmowa,0,22,K,17,803.54,0,12,6,0
splacona_cz,600,64,K,13,1233,2,128,48,2
splacona,200,76,K,13,1647,0,262,48,0
splacona_cz,200,54,K,16,749.28,9,70,48,0
windykacja,650,25,M,11,2000,0,41,48,1852
splacona,237.11,55,K,12,2200,2,11,3,0
splacona_cz,400,66,M,16,1473.04,6,170,48,3
odmowa,0,42,M,11,2810,0,72,48,0
windykacja_sp,376.24,60,K,13,1400,2,51,48,188
splacona_cz,637.66,64,K,13,860,3,84,48,10
splacona_cz,200,37,K,11,1350,0,31,48,1
splacona,300,47,K,98,911,9,103,48,0
splacona_cz,500,75,K,13,1060,0,252,48,0
splacona_cz,200,59,K,16,634,8,56,48,0
splacona_cz,300,66,K,13,802.83,3,206,48,0
splacona_cz,200,56,K,11,2800,4,14,48,0
splacona_cz,277.26,65,K,13,1582.15,1,110,48,0
splacona_cz,500,30,K,12,1447,9,35,9,1
splacona_cz,2000,73,M,13,2612,1,86,48,8
splacona_cz,500,62,K,13,1170,0,83,48,0
splacona_cz,600,62,M,16,837,1,236,48,3
splacona_cz,700,59,K,13,1872,9,39,48,4
splacona_cz,688.47,50,K,11,2800,1,323,48,4
splacona_cz,400,51,K,12,1000,9,37,0,0
splacona_cz,400,61,M,12,1000,9,26,9,0
windykacja,500,51,M,12,3000,0,131,48,1850
splacona_cz,830,60,K,13,1400,4,251,48,11
odmowa,0,34,M,12,1050,0,104,48,0
splacona_cz,500,51,K,17,990,5,85,48,1
splacona_cz,500,54,M,11,2080,3,323,48,1
splacona_cz,400,55,K,11,1840,0,360,48,0
splacona_cz,400,26,K,17,1200,1,179,48,4
odmowa,0,74,M,13,1072,0,134,48,0
splacona_cz,222.73,51,M,16,1045,8,204,48,1
odmowa,0,53,K,11,1100,0,26,48,0
splacona_cz,292.26,64,K,13,1014,3,187,48,8
splacona_cz,200,63,M,13,1162,9,226,48,1
splacona_cz,200,58,K,99,780,5,12,6,0
windykacja_sp,800,69,K,13,2120,4,123,48,30
splacona,670.68,59,K,13,1801.41,0,42,48,14
splacona_cz,200,61,K,13,1635,9,124,48,0
splacona_cz,500,37,M,11,3898,4,185,48,8
windykacja_sp,564.48,62,M,13,1500,0,28,48,224
splacona_cz,800,56,K,13,3440,9,56,48,0
splacona_cz,2000,58,M,98,20000,0,135,48,12
splacona_cz,700,34,K,11,1540,0,43,48,0
splacona,700,38,K,11,3178.76,4,126,48,12
splacona,700,33,K,11,3100,4,126,48,12
splacona_cz,800,50,K,11,1764,3,69,48,6
odmowa,0,26,M,11,2800,0,23,48,0
odmowa,0,59,M,12,1873,0,14,12,0
splacona_cz,249.3,58,K,16,2100,4,43,48,6
splacona_cz,257.27,55,M,11,2100,6,42,48,2
splacona,900,66,M,13,3040,1,206,48,0
splacona_cz,700,57,M,13,1553,0,114,48,0
odmowa,0,71,K,13,1997,0,128,48,0
odmowa,0,76,M,13,734.09,0,146,48,0
splacona_cz,349.66,65,M,13,1601.87,5,50,48,1
splacona_cz,400,75,K,13,1536,0,40,48,5
odmowa,0,29,K,11,1970,0,58,48,0
odmowa,0,62,M,13,1327.87,0,26,48,0
windykacja,600,51,M,16,2150,1,86,48,1847
splacona_cz,600,28,K,11,2100,0,27,48,0
splacona_cz,1000,81,K,13,2090,1,250,48,0
odmowa,0,56,K,11,1170,0,150,48,0
splacona_cz,300,38,M,99,1500,0,10,7,0
splacona_cz,1000,58,K,13,1530,2,29,48,4
splacona_cz,500,63,K,16,2084.79,0,146,48,0
splacona_cz,400,61,K,13,1107,3,19,48,0
splacona_cz,1000,42,K,98,6000,5,22,48,0
splacona_cz,289.69,69,K,13,1017,2,166,48,0
splacona_cz,400,67,K,13,1137.19,1,101,48,4
splacona_cz,390.85,59,K,16,1589,2,31,48,0
splacona_cz,234.84,60,K,13,1000,1,62,48,0
odmowa,0,54,K,12,1200,0,3,0,0
