@relation '228046_2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N2:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry,splacona:dobry1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly,windykacja:zly1,windykacja_sp:zly2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1-3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
12,1136.86,0,200,'\'(-inf-30.4]\'',M,23,15,dobry
13,1362,2,500,'\'(55.2-67.6]\'',K,53,48,dobry
11,3250,1,500,'\'(42.8-55.2]\'',M,2,48,zly
16,1600,0,500,'\'(55.2-67.6]\'',M,9,48,dobry
16,730,0,300,'\'(42.8-55.2]\'',M,113,48,zly
11,2470,2,426.61,'\'(42.8-55.2]\'',K,351,48,dobry
12,1040,2,400,'\'(42.8-55.2]\'',K,19,4,zly
13,1015,2,400,'\'(55.2-67.6]\'',K,106,48,dobry
11,1557.5,0,700,'\'(30.4-42.8]\'',K,182,48,zly
13,1017,2,200,'\'(67.6-inf)\'',K,158,48,dobry
17,547.89,1,350,'\'(55.2-67.6]\'',K,58,48,dobry
11,1800,1,600,'\'(30.4-42.8]\'',K,48,48,dobry
11,2050,0,800,'\'(30.4-42.8]\'',K,26,48,dobry
13,910,2,200,'\'(55.2-67.6]\'',K,66,48,dobry
11,2284.23,0,200,'\'(42.8-55.2]\'',M,296,48,dobry
11,1577.42,2,400,'\'(42.8-55.2]\'',K,202,48,dobry
12,855,2,600,'\'(30.4-42.8]\'',K,60,48,zly
12,1540,1,600,'\'(30.4-42.8]\'',K,39,3,dobry
11,2050,2,575.74,'\'(30.4-42.8]\'',M,115,48,dobry
11,2368.57,0,400,'\'(42.8-55.2]\'',K,407,48,dobry
17,540.62,0,300,'\'(-inf-30.4]\'',K,48,20,zly
13,1875.17,0,1000,'\'(55.2-67.6]\'',K,96,48,zly
11,4900,0,500,'\'(42.8-55.2]\'',K,8,48,dobry
13,1457,1,300,'\'(67.6-inf)\'',M,76,48,dobry
13,1216,2,200,'\'(55.2-67.6]\'',K,138,48,dobry
13,1280,2,400,'\'(55.2-67.6]\'',K,14,48,dobry
99,490.99,0,400,'\'(30.4-42.8]\'',K,8,5,zly
11,1800,2,500,'\'(42.8-55.2]\'',K,50,48,dobry
13,1798.71,0,800,'\'(55.2-67.6]\'',M,132,48,zly
11,1110,0,600,'\'(-inf-30.4]\'',M,7,48,zly
13,930,2,670.73,'\'(55.2-67.6]\'',K,91,48,dobry
11,1500,1,500,'\'(30.4-42.8]\'',M,99,48,zly
11,1033,1,400,'\'(30.4-42.8]\'',M,33,48,zly
13,1160,1,500,'\'(55.2-67.6]\'',K,75,48,dobry
13,1244.77,2,300,'\'(55.2-67.6]\'',K,36,48,dobry
13,930,2,200,'\'(67.6-inf)\'',K,236,48,dobry
13,1200,2,500,'\'(67.6-inf)\'',K,116,48,dobry
13,2015.55,0,600,'\'(67.6-inf)\'',M,108,48,dobry
13,1085,2,400,'\'(55.2-67.6]\'',K,163,48,dobry
11,2700,2,500,'\'(-inf-30.4]\'',M,61,48,dobry
11,980.11,2,400,'\'(30.4-42.8]\'',K,42,48,dobry
12,1139.48,0,500,'\'(-inf-30.4]\'',M,20,17,zly
13,866.46,2,200,'\'(67.6-inf)\'',K,192,48,dobry
13,1872,2,700,'\'(55.2-67.6]\'',K,32,48,dobry
12,2673.17,2,600,'\'(42.8-55.2]\'',M,162,48,dobry
13,1400,1,400,'\'(55.2-67.6]\'',K,51,48,dobry
11,1700,1,500,'\'(30.4-42.8]\'',K,194,48,dobry
11,2700,1,400,'\'(30.4-42.8]\'',M,5,48,zly
16,1770,2,500,'\'(55.2-67.6]\'',M,86,48,dobry
98,4000,2,500.8,'\'(30.4-42.8]\'',K,15,48,dobry
11,2670,2,1000,'\'(55.2-67.6]\'',K,85,48,dobry
13,625.86,0,250,'\'(67.6-inf)\'',M,254,48,zly
17,728,2,200,'\'(-inf-30.4]\'',M,130,48,dobry
13,757.1,0,200,'\'(55.2-67.6]\'',K,195,48,zly
13,2113.24,1,200,'\'(55.2-67.6]\'',K,58,48,dobry
16,685,0,300,'\'(42.8-55.2]\'',K,38,48,dobry
11,1906.42,0,400,'\'(55.2-67.6]\'',K,209,48,dobry
13,1561.87,1,281.29,'\'(55.2-67.6]\'',M,194,48,zly
12,984.34,1,200,'\'(42.8-55.2]\'',K,20,5,dobry
13,907,0,200,'\'(67.6-inf)\'',K,231,48,dobry
11,1721.7,2,385.97,'\'(42.8-55.2]\'',K,117,48,dobry
16,726,2,300,'\'(55.2-67.6]\'',M,230,48,dobry
13,936,2,300,'\'(55.2-67.6]\'',K,28,48,dobry
13,1900,2,500,'\'(55.2-67.6]\'',M,147,48,dobry
13,1817.24,0,400,'\'(55.2-67.6]\'',K,15,48,dobry
98,520,0,200,'\'(30.4-42.8]\'',K,26,48,zly
16,1100,2,850,'\'(67.6-inf)\'',M,134,48,zly
11,1730.13,0,400,'\'(55.2-67.6]\'',K,190,48,dobry
11,2709.34,2,337.64,'\'(30.4-42.8]\'',K,178,48,dobry
13,1399.99,0,300,'\'(55.2-67.6]\'',K,12,48,dobry
12,1963.88,1,400,'\'(42.8-55.2]\'',M,5,2,dobry
13,1050,2,600,'\'(55.2-67.6]\'',K,136,48,dobry
17,926,2,520.7,'\'(-inf-30.4]\'',M,54,48,zly
17,926,2,356.68,'\'(-inf-30.4]\'',M,54,48,zly
11,1443,2,600,'\'(42.8-55.2]\'',K,30,48,dobry
13,1820,2,1000,'\'(55.2-67.6]\'',K,66,48,dobry
13,2100,2,1000,'\'(67.6-inf)\'',K,52,48,dobry
16,650.77,0,200,'\'(55.2-67.6]\'',M,45,48,dobry
13,784,1,300,'\'(55.2-67.6]\'',K,36,48,zly
11,1000,2,300,'\'(-inf-30.4]\'',M,54,48,dobry
13,1026,2,300,'\'(55.2-67.6]\'',K,52,48,dobry
11,1500,1,200,'\'(55.2-67.6]\'',M,392,48,dobry
13,1420,1,200,'\'(67.6-inf)\'',M,50,48,dobry
13,1217,0,400,'\'(55.2-67.6]\'',M,48,48,dobry
16,1362,2,400,'\'(42.8-55.2]\'',K,26,48,dobry
11,901,1,300,'\'(-inf-30.4]\'',K,37,48,dobry
